ID	Correct	Predict	Error
dsgdb9nsd_000205	-4.737504959106445,1.5183961391448975	-8.074707984924316,-0.9711886644363403	3.337203025817871,2.489584803581238
dsgdb9nsd_000209	-5.072205066680908,1.360569953918457	-8.25892162322998,-0.9940112829208374	3.1867165565490723,2.3545812368392944
dsgdb9nsd_000222	-7.045031547546387,1.1564844846725464	-7.589441776275635,-0.9109280705451965	0.544410228729248,2.067412555217743
dsgdb9nsd_000230	-6.680398464202881,2.14970064163208	-7.282670021057129,-0.872853696346283	0.602271556854248,3.022554337978363
dsgdb9nsd_000233	-6.54162073135376,1.722481608390808	-7.3647871017456055,-0.8829702138900757	0.8231663703918457,2.605451822280884
dsgdb9nsd_000249	-7.464087009429932,0.06530735641717911	-8.29062271118164,-0.998225212097168	0.826535701751709,1.063532568514347
dsgdb9nsd_000251	-8.601523399353027,0.9415144324302673	-7.637734889984131,-0.9168006181716919	0.9637885093688965,1.8583150506019592
dsgdb9nsd_000273	-7.028704643249512,1.956499695777893	-7.395857810974121,-0.886921763420105	0.3671531677246094,2.843421459197998
dsgdb9nsd_000279	-6.552505016326904,-2.247661590576172	-7.935418605804443,-0.953872799873352	1.382913589477539,1.2937887907028198
dsgdb9nsd_000283	-6.590600967407227,-0.8734859228134155	-8.201600074768066,-0.9872394800186157	1.6109991073608398,0.1137535572052002
dsgdb9nsd_000289	-6.372910022735596,0.9632835388183594	-7.711915969848633,-0.9259769320487976	1.339005947113037,1.889260470867157
dsgdb9nsd_000299	-6.794686794281006,2.2585461139678955	-7.394176959991455,-0.886703610420227	0.5994901657104492,3.1452497243881226
dsgdb9nsd_000336	-7.621912956237793,-1.4830212593078613	-8.236034393310547,-0.9911296367645264	0.6141214370727539,0.49189162254333496
dsgdb9nsd_000355	-6.816455841064453,-1.9755476713180542	-8.2296724319458,-0.9903409481048584	1.4132165908813477,0.9852067232131958
dsgdb9nsd_000356	-7.30081844329834,-2.3456227779388428	-8.226996421813965,-0.9900380373001099	0.926177978515625,1.355584740638733
dsgdb9nsd_000357	-6.846388339996338,-2.5932464599609375	-8.1583890914917,-0.9815772771835327	1.3120007514953613,1.6116691827774048
dsgdb9nsd_000359	-6.609649181365967,-0.19864322245121002	-7.63312292098999,-0.9163622260093689	1.0234737396240234,0.7177190035581589
dsgdb9nsd_000362	-6.620533466339111,0.7455923557281494	-7.820372581481934,-0.9395706653594971	1.1998391151428223,1.6851630210876465
dsgdb9nsd_000363	-6.484476566314697,1.8231637477874756	-7.781213760375977,-0.934794545173645	1.2967371940612793,2.7579582929611206
dsgdb9nsd_000373	-7.33347225189209,0.7782460451126099	-7.725968837738037,-0.9278531670570374	0.39249658584594727,1.7060992121696472
dsgdb9nsd_000394	-7.132107734680176,1.9619419574737549	-7.268462657928467,-0.8710757493972778	0.13635492324829102,2.8330177068710327
dsgdb9nsd_000396	-6.9253010749816895,2.14970064163208	-7.442060470581055,-0.8926429748535156	0.5167593955993652,3.0423436164855957
dsgdb9nsd_000397	-7.0912909507751465,1.333358645439148	-7.504598140716553,-0.9004697203636169	0.41330718994140625,2.233828365802765
dsgdb9nsd_000407	-6.753869533538818,-0.3836807310581207	-7.668596267700195,-0.9207547903060913	0.914726734161377,0.5370740592479706
dsgdb9nsd_000411	-7.118502140045166,2.0599029064178467	-7.407073974609375,-0.888302206993103	0.288571834564209,2.9482051134109497
dsgdb9nsd_000424	-7.0069355964660645,-0.8789282441139221	-8.011641502380371,-0.9633449912071228	1.0047059059143066,0.08441674709320068
dsgdb9nsd_000440	-6.802849769592285,-0.495247483253479	-8.6279935836792,-1.0398372411727905	1.825143814086914,0.5445897579193115
dsgdb9nsd_000453	-6.685841083526611,1.7115970849990845	-8.164847373962402,-0.9823893308639526	1.479006290435791,2.693986415863037
dsgdb9nsd_000459	-6.3538618087768555,0.8517168164253235	-7.461928367614746,-0.8950170874595642	1.1080665588378906,1.7467339038848877
dsgdb9nsd_000493	-7.341635704040527,0.3673538863658905	-8.277915000915527,-0.9963747262954712	0.936279296875,1.3637286126613617
dsgdb9nsd_000500	-8.318525314331055,-0.7047752737998962	-8.687262535095215,-1.0471394062042236	0.36873722076416016,0.3423641324043274
dsgdb9nsd_000506	-6.745706081390381,1.1483210325241089	-7.88333797454834,-0.9472826719284058	1.137631893157959,2.0956037044525146
dsgdb9nsd_000520	-6.658629417419434,0.7673614621162415	-7.746347427368164,-0.930264949798584	1.0877180099487305,1.6976264119148254
dsgdb9nsd_000526	-8.609686851501465,1.0231486558914185	-7.671408653259277,-0.9209703803062439	0.9382781982421875,1.9441190361976624
TEST	0.0,0.0	-5.634130954742432,-0.6684548854827881	5.634130954742432,0.6684548854827881
C2H4O2	0.0,0.0	-7.331883907318115,-0.878958523273468	7.331883907318115,0.878958523273468
H3N	0.0,0.0	-5.813020706176758,-0.6911776661872864	5.813020706176758,0.6911776661872864
H2O	0.0,0.0	-5.638976097106934,-0.6690178513526917	5.638976097106934,0.6690178513526917
